Woche,Geschäftsnr,Betreff,Ergebnis,Konfidenz,PDF
19.08.2026,SB230402,"Drohung etc. Berufung gegen ein Urteil des Bezirksgerichtes Zürich, 9. Abteilung",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB230402-O1.pdf
12.08.2026,PS260212,Konkurseröffnung Beschwerde gegen ein Urteil des Konkursgerichtes des Bezirksger,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260212-O3.pdf
12.08.2026,PQ260039,Überprüfung Kindesschutzmassnahme Beschwerde gegen ein Urteil des Bezirksrates H,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PQ260039-O1.pdf
12.08.2026,LC250042,Ehescheidung Berufung gegen ein Urteil des Einzelgerichts am Bezirksgericht Büla,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LC250042-O4.pdf
12.08.2026,FV240011,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FV240011-C5.pdf
12.08.2026,GC260022,Übertretung von Verkehrsvorschriften,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/GC260022-L1.pdf
12.08.2026,LF260017,Einberufung der Gesellschafterversammlung Berufung gegen einen Entscheid des Ein,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LF260017-O2.pdf
12.08.2026,SB240466,gewerbsmässigen Diebstahl etc. Berufung gegen ein Urteil des Bezirksgerichtes Zü,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB240466-O1.pdf
12.08.2026,SB250226,"mehrfache, teilweise qualifizierte Widerhandlung gegen das Be- täubungsmittelges",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB250226-O1.pdf
12.08.2026,HG250100,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/HG250100-O5.pdf
12.08.2026,EE250014,Eheschutzmassnahmen,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/EE250014-E5.pdf
12.08.2026,EL230268,Testamentseröffnung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/EL230268-F1.pdf
12.08.2026,FK240068,Unterhalt,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/FK240068-L1.pdf
05.08.2026,RT260018,Rechtöffnung Beschwerde gegen ein Urteil des Einzelgerichts am Bezirksgericht Wi,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/RT260018-O5.pdf
05.08.2026,PS260188,Konkurseröffnung Beschwerde gegen ein Urteil des Einzelgerichtes im summarischen,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260188-O2.pdf
05.08.2026,NP250014,Persönlichkeitsschutz Berufung gegen ein Urteil des Einzelgerichts im vereinfach,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NP250014-O4.pdf
05.08.2026,VV260008,Umteilung Prozess Nr. MO260167-C der Schlichtungsbehörde in Mietsachen des Bezir,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/VV260008-O2.pdf
05.08.2026,VV260009,Umteilung Prozess Nr. MO260160-K der Schlichtungsbehörde in Mietsachen des Bezir,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/VV260009-O2.pdf
05.08.2026,HE260035,vorsorgliche Massnahmen,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/HE260035-O5.pdf
05.08.2026,LB260018,"Forderung Berufung gegen einen Beschluss des Bezirksgerichtes Bülach, II. Abteil",,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LB260018-O3.pdf
05.08.2026,PS260161,Konkurseröffnung Beschwerde gegen ein Urteil des Konkursgerichtes des Bezirksger,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260161-O3.pdf
05.08.2026,PS250384,Zahlungsbefehl (Beschwerde über das Betreibungsamt Dübendorf) Beschwerde gegen e,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS250384-O3.pdf
05.08.2026,HG250182,Forderung,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/HG250182-O5.pdf
05.08.2026,LA260011,arbeitsrechtliche Forderung Berufung gegen ein Urteil des Arbeitsgerichtes Züric,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LA260011-O2.pdf
05.08.2026,LE260013,Eheschutz Berufung gegen ein Urteil des Einzelgerichts am Bezirksgericht Wintert,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LE260013-O2.pdf
05.08.2026,HE260010,Bauhandwerkerpfandrecht,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/HE260010-O7.pdf
05.08.2026,PS260124,Konkurseröffnung Beschwerde gegen ein Urteil des Konkursgerichtes des Bezirksger,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/PS260124-O3.pdf
05.08.2026,NH260003,Rückführung von Kindern,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/NH260003-O5.pdf
05.08.2026,LF260032,Organisationsmangel Berufung gegen ein Urteil des Einzelgerichtes des Bezirksger,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/LF260032-O1.pdf
05.08.2026,RS260005,Organisationsmangel / Gesuch um Aufschub der Vollstreckbarkeit betreffend Urteil,,0.0,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/RS260005-O1.pdf
